分类,型号,厂商,参考价格,价格币种,价格类型,发行日期,性能指标,商品描述,采集日期,来源链接
CPU,Ryzen 9 7900X3D,AMD,599,USD,首发建议价,2023-02-28,"12核24线程; 最高5.6GHz; 140MB缓存; 120W TDP; AM5; DDR5","12核X3D处理器，适合游戏与多线程混合需求。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 7800X3D,AMD,449,USD,首发建议价,2023-04-06,"8核16线程; 最高5.0GHz; 104MB缓存; 120W TDP; AM5; DDR5","成熟热门游戏处理器，仍常见于高性价比游戏清单。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 7950X,AMD,699,USD,首发建议价,2022-09-27,"16核32线程; 最高5.7GHz; 80MB缓存; 170W TDP; AM5; DDR5","Zen 4旗舰处理器，适合多线程创作和高端桌面。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 7900X,AMD,549,USD,首发建议价,2022-09-27,"12核24线程; 最高5.6GHz; 76MB缓存; 170W TDP; AM5; DDR5","Zen 4高端处理器，适合游戏、渲染和编译。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 7700X,AMD,399,USD,首发建议价,2022-09-27,"8核16线程; 最高5.4GHz; 40MB缓存; 105W TDP; AM5; DDR5","中高端Zen 4处理器，适合游戏和通用生产力。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 7600X,AMD,299,USD,首发建议价,2022-09-27,"6核12线程; 最高5.3GHz; 38MB缓存; 105W TDP; AM5; DDR5","主流游戏处理器，AM5入门到中端装机常见选择。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Core Ultra 9 285K,Intel,589,USD,首发建议价,2024-10-24,"24核心24线程; 最高5.7GHz; 36MB缓存; 125W基础功耗; LGA1851; DDR5","Arrow Lake-S旗舰可超频处理器，面向高端台式机。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 7 265K,Intel,394,USD,首发建议价,2024-10-24,"20核心20线程; 最高5.5GHz; 30MB缓存; 125W基础功耗; LGA1851; DDR5","高端主流可超频处理器，适合游戏、直播和多任务。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 5 245K,Intel,309,USD,首发建议价,2024-10-24,"14核心14线程; 最高5.2GHz; 24MB缓存; 125W基础功耗; LGA1851; DDR5","主流可超频Arrow Lake处理器，适合新平台装机。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 7 270K Plus,Intel,299,USD,建议价,2026-03-26,"Core Ultra 200S Plus; LGA1851; DDR5; 可超频","Core Ultra 200S Plus桌面处理器，定位高性能游戏和主流高端配置。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 5 250K Plus,Intel,199,USD,建议价,2026-03-26,"Core Ultra 200S Plus; LGA1851; DDR5; 可超频","Core Ultra 200S Plus主流处理器，适合较低预算的新平台装机。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core i9-14900K,Intel,589,USD,首发建议价,2023-10-17,"24核心32线程; 最高6.0GHz; 36MB缓存; 125W基础功耗; LGA1700; DDR5/DDR4","第14代旗舰可超频处理器，仍见于LGA1700高端装机。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core.html
CPU,Core i7-14700K,Intel,409,USD,首发建议价,2023-10-17,"20核心28线程; 最高5.6GHz; 33MB缓存; 125W基础功耗; LGA1700; DDR5/DDR4","第14代高端主流处理器，多线程规格较强。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core.html
CPU,Core i5-14600K,Intel,319,USD,首发建议价,2023-10-17,"14核心20线程; 最高5.3GHz; 24MB缓存; 125W基础功耗; LGA1700; DDR5/DDR4","主流游戏和生产力处理器，适合中端LGA1700平台。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core.html
显卡,GeForce RTX 5090,NVIDIA,1999,USD,首发建议价,2025-01-30,"21760 CUDA核心; 32GB GDDR7; 512-bit; 575W; DLSS 4; PCIe 5.0","Blackwell旗舰游戏显卡，面向4K高刷、AI和创作负载。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5080,NVIDIA,999,USD,首发建议价,2025-01-30,"10752 CUDA核心; 16GB GDDR7; 256-bit; 360W; DLSS 4; PCIe 5.0","高端Blackwell显卡，适合4K游戏和创作工作流。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5070 Ti,NVIDIA,749,USD,首发建议价,2025-02-20,"8960 CUDA核心; 16GB GDDR7; 256-bit; 300W; DLSS 4; PCIe 5.0","中高端Blackwell显卡，适合2K高刷和部分4K游戏。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5070,NVIDIA,549,USD,首发建议价,2025-03-05,"6144 CUDA核心; 12GB GDDR7; 192-bit; 250W; DLSS 4; PCIe 5.0","主流高性能显卡，定位2K游戏和AI加速桌面。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5060 Ti 16GB,NVIDIA,429,USD,首发建议价,2025-04-16,"4608 CUDA核心; 16GB GDDR7; 128-bit; 180W; DLSS 4; PCIe 5.0","大显存主流显卡，适合高纹理2K游戏和创作入门。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5060 Ti 8GB,NVIDIA,379,USD,首发建议价,2025-04-16,"4608 CUDA核心; 8GB GDDR7; 128-bit; 180W; DLSS 4; PCIe 5.0","主流Blackwell显卡，适合1080p和部分2K游戏。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 5060,NVIDIA,299,USD,首发建议价,2025-05-19,"3840 CUDA核心; 8GB GDDR7; 128-bit; 145W; DLSS 4; PCIe 5.0","入门到主流Blackwell显卡，适合1080p游戏。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/
显卡,GeForce RTX 4090,NVIDIA,1599,USD,首发建议价,2022-10-12,"16384 CUDA核心; 24GB GDDR6X; 384-bit; 450W; DLSS 3; PCIe 4.0","Ada Lovelace上一代旗舰显卡，仍适合4K游戏和AI创作。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,GeForce RTX 4080 SUPER,NVIDIA,999,USD,首发建议价,2024-01-31,"10240 CUDA核心; 16GB GDDR6X; 256-bit; 320W; DLSS 3; PCIe 4.0","上一代高端显卡，适合4K游戏与内容创作。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,GeForce RTX 4070 Ti SUPER,NVIDIA,799,USD,首发建议价,2024-01-24,"8448 CUDA核心; 16GB GDDR6X; 256-bit; 285W; DLSS 3; PCIe 4.0","中高端Ada显卡，16GB显存更适合高画质2K/4K。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,GeForce RTX 4070 SUPER,NVIDIA,599,USD,首发建议价,2024-01-17,"7168 CUDA核心; 12GB GDDR6X; 192-bit; 220W; DLSS 3; PCIe 4.0","高性价比2K游戏显卡，性能和功耗较均衡。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,GeForce RTX 4060 Ti 16GB,NVIDIA,499,USD,首发建议价,2023-07-18,"4352 CUDA核心; 16GB GDDR6; 128-bit; 165W; DLSS 3; PCIe 4.0","16GB显存版本，适合预算创作和高纹理1080p/2K游戏。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,GeForce RTX 4060,NVIDIA,299,USD,首发建议价,2023-06-29,"3072 CUDA核心; 8GB GDDR6; 128-bit; 115W; DLSS 3; PCIe 4.0","入门级Ada显卡，适合1080p游戏和低功耗装机。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/40-series/
显卡,Radeon RX 9070 XT,AMD,599,USD,首发建议价,2025-03-06,"64计算单元; 16GB GDDR6; 256-bit; 304W TBP; RDNA 4; FSR 4","RDNA 4高端显卡，面向2K/4K游戏和光追性能提升。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 9070,AMD,549,USD,首发建议价,2025-03-06,"56计算单元; 16GB GDDR6; 256-bit; 220W TBP; RDNA 4; FSR 4","RDNA 4主流高端显卡，适合高画质2K游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 9060 XT 16GB,AMD,349,USD,首发建议价,2025-06-05,"32计算单元; 16GB GDDR6; 128-bit; 160W TBP; RDNA 4; FSR 4","主流RDNA 4显卡，16GB显存版本适合预算型2K配置。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 9060 XT 8GB,AMD,299,USD,首发建议价,2025-06-05,"32计算单元; 8GB GDDR6; 128-bit; 150W TBP; RDNA 4; FSR 4","主流RDNA 4显卡，适合1080p高画质游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7900 XTX,AMD,999,USD,首发建议价,2022-12-13,"96计算单元; 24GB GDDR6; 384-bit; 355W TBP; RDNA 3","RDNA 3旗舰显卡，适合4K游戏和大显存需求。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7900 XT,AMD,899,USD,首发建议价,2022-12-13,"84计算单元; 20GB GDDR6; 320-bit; 315W TBP; RDNA 3","高端RDNA 3显卡，20GB显存适合高分辨率游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7900 GRE,AMD,549,USD,建议价参考,2024-02-27,"80计算单元; 16GB GDDR6; 256-bit; 260W TBP; RDNA 3","中高端RDNA 3显卡，常见于高性价比2K/4K配置。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7800 XT,AMD,499,USD,首发建议价,2023-09-06,"60计算单元; 16GB GDDR6; 256-bit; 263W TBP; RDNA 3","高性价比2K游戏显卡，16GB显存配置较充足。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7700 XT,AMD,449,USD,首发建议价,2023-09-06,"54计算单元; 12GB GDDR6; 192-bit; 245W TBP; RDNA 3","面向2K游戏的中端显卡，适合预算型高画质配置。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7600 XT,AMD,329,USD,首发建议价,2024-01-24,"32计算单元; 16GB GDDR6; 128-bit; 190W TBP; RDNA 3","16GB主流显卡，适合1080p游戏和较大显存需求。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 7600,AMD,269,USD,首发建议价,2023-05-25,"32计算单元; 8GB GDDR6; 128-bit; 165W TBP; RDNA 3","入门到主流RDNA 3显卡，适合1080p游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Arc B580,Intel,249,USD,首发建议价,2024-12-13,"20 Xe2核心; 12GB GDDR6; 192-bit; 190W TBP; XeSS 2; PCIe 4.0","Battlemage主流显卡，12GB显存在同价位有优势。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/discrete-gpus/arc.html
显卡,Arc B570,Intel,219,USD,首发建议价,2025-01-16,"18 Xe2核心; 10GB GDDR6; 160-bit; 150W TBP; XeSS 2; PCIe 4.0","更低价位Battlemage显卡，面向1080p和轻度2K游戏。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/discrete-gpus/arc.html
主板,ROG Crosshair X870E Hero,ASUS,699.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7; USB4","ASUS高端AM5主板，适合旗舰Ryzen和高扩展需求。",2026-06-06,https://rog.asus.com/motherboards/rog-crosshair/
主板,ROG Strix X870E-E Gaming WiFi,ASUS,499.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0 x16; 多M.2; Wi-Fi 7; USB4","高端AM5游戏主板，供电、扩展和高速存储规格完整。",2026-06-06,https://rog.asus.com/motherboards/rog-strix/rog-strix-x870e-e-gaming-wifi/
主板,ROG Strix X870-A Gaming WiFi,ASUS,369.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0 x16; Wi-Fi 7; USB4","白色主题AM5主板，兼顾外观和中高端扩展。",2026-06-06,https://rog.asus.com/us/motherboards/rog-strix/rog-strix-x870-a-gaming-wifi/
主板,TUF Gaming X870-Plus WiFi,ASUS,309.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0; Wi-Fi 7; USB4","TUF系列中高端AM5主板，强调稳定耐用和接口完整性。",2026-06-06,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/
主板,Prime X870-P WiFi,ASUS,249.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","主流AM5 X870主板，适合日常高性能装机。",2026-06-06,https://www.asus.com/motherboards-components/motherboards/prime/prime-x870-p/
主板,TUF Gaming B850-Plus WiFi,ASUS,219.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","耐用取向B850主板，适合Ryzen 9000/7000主流游戏配置。",2026-06-06,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b850-plus-wifi/
主板,Prime B850-Plus WiFi,ASUS,189.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","入门到主流AM5主板，适合预算型Ryzen平台。",2026-06-06,https://www.asus.com/motherboards-components/motherboards/prime/
主板,MEG X870E Godlike,MSI,1099.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; E-ATX; DDR5; PCIe 5.0; 多M.2; Wi-Fi 7; 10GbE","旗舰级AM5主板，面向极限扩展和高端展示平台。",2026-06-06,https://www.msi.com/Landing/amd-am5-x870e-x870-b850-b840-ryzen-9000-x3d-best-ai-gaming-motherboard
主板,MPG X870E Carbon WiFi,MSI,499.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0; Wi-Fi 7; 5GbE","MSI中高端到高端AM5主板，适合旗舰游戏配置。",2026-06-06,https://www.msi.com/Landing/amd-am5-x870e-x870-b850-b840-ryzen-9000-x3d-best-ai-gaming-motherboard
主板,MAG X870 Tomahawk WiFi,MSI,299.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0; Wi-Fi 7","中高端AM5主板，主打稳定供电、实用接口和扩展性。",2026-06-06,https://www.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI
主板,MAG B850 Tomahawk Max WiFi,MSI,239.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","B850平台中高端型号，偏重供电、网络和扩展均衡。",2026-06-06,https://us.msi.com/Motherboard/MAG-B850-TOMAHAWK-WIFI/Specification
主板,PRO B850-P WiFi,MSI,199.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","偏办公和实用风格的B850主板，适合稳定型装机。",2026-06-06,https://www.msi.com/Landing/amd-am5-x870e-x870-b850-b840-ryzen-9000-x3d-best-ai-gaming-motherboard
主板,X870E AORUS Master,GIGABYTE,499.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0; 多M.2; Wi-Fi 7; 5GbE","高端AORUS主板，面向高性能Ryzen装机。",2026-06-06,https://www.gigabyte.com/Motherboard/AMD-X870E
主板,X870E AORUS Elite WiFi7,GIGABYTE,289.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","AORUS系列主流高端主板，接口和散热规格较均衡。",2026-06-06,https://www.gigabyte.com/Motherboard/X870E-AORUS-ELITE-WIFI7
主板,B850 AORUS Elite WiFi7,GIGABYTE,209.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","主流AM5 B850主板，适合中端游戏主机。",2026-06-06,https://www.gigabyte.com/Motherboard/B850-AORUS-ELITE-WIFI7
主板,X870 Steel Legend WiFi,ASRock,259.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","偏性价比的X870主板，适合白色主题和中高端AM5装机。",2026-06-06,https://www.asrock.com/mb/AMD/X870%20Steel%20Legend%20WiFi/
主板,B850 Steel Legend WiFi,ASRock,209.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","B850白色主题主板，适合主流Ryzen装机。",2026-06-06,https://www.asrock.com/mb/AMD/
主板,B850 Pro RS WiFi,ASRock,189.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 6E/7按版本","面向性价比平台的B850主板，适合中端游戏主机。",2026-06-06,https://www.asrock.com/mb/AMD/
主板,ROG Maximus Z890 Hero,ASUS,699.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0; Thunderbolt 4; Wi-Fi 7","Intel Core Ultra 200S高端主板，适合旗舰可超频平台。",2026-06-06,https://www.asus.com/us/site/motherboards/intel-ultra-series-2-arrow-lake-s-z890-h810-b860/
主板,ROG Strix Z890-E Gaming WiFi,ASUS,499.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0 x16; Thunderbolt 4; Wi-Fi 7","Intel新平台高端游戏主板，扩展接口和供电规格较高。",2026-06-06,https://rog.asus.com/motherboards/rog-strix/rog-strix-z890-e-gaming-wifi/
主板,TUF Gaming Z890-Plus WiFi,ASUS,319.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0; Wi-Fi 7","TUF系列Z890主板，适合中高端Core Ultra装机。",2026-06-06,https://www.asus.com/us/site/motherboards/intel-ultra-series-2-arrow-lake-s-z890-h810-b860/
主板,Prime Z890-P WiFi,ASUS,249.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0; Wi-Fi 7","主流Z890主板，适合新平台游戏和生产力配置。",2026-06-06,https://www.asus.com/us/site/motherboards/intel-ultra-series-2-arrow-lake-s-z890-h810-b860/
主板,MAG Z890 Tomahawk WiFi,MSI,299.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0; Wi-Fi 7","面向Arrow Lake平台的中高端Z890主板，适合可超频CPU。",2026-06-06,https://www.msi.com/Landing/intel-arrow-lake-core-ultra-z890-b860-h810-best-ai-pc-gaming-motherboard
主板,PRO Z890-A WiFi,MSI,239.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0; Wi-Fi 7","实用取向Z890主板，适合稳定型新平台装机。",2026-06-06,https://www.msi.com/Landing/intel-arrow-lake-core-ultra-z890-b860-h810-best-ai-pc-gaming-motherboard
主板,B860 AORUS Elite WiFi7,GIGABYTE,199.99,USD,美国零售参考价,2025-Q1,"LGA1851; B860; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","主流Intel B860主板，适合非超频Core Ultra 200S配置。",2026-06-06,https://www.gigabyte.com/Motherboard/Intel-B860
主板,TUF Gaming B860-Plus WiFi,ASUS,199.99,USD,美国零售参考价,2025-Q1,"LGA1851; B860; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","面向主流Intel新平台的耐用型B860主板。",2026-06-06,https://press.asus.com/news/press-releases/asus-intel-z890-b860-rog-strix-tuf-prime-motherboards/
主板,MAG B860 Tomahawk WiFi,MSI,209.99,USD,美国零售参考价,2025-Q1,"LGA1851; B860; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","中端Intel B860主板，适合主流Core Ultra游戏配置。",2026-06-06,https://us-store.msi.com/Motherboards/Intel-Platform-Motherboard/Intel-B860
主板,Z790 AORUS Elite AX,GIGABYTE,249.99,USD,美国零售参考价,2022-Q4,"LGA1700; Z790; ATX; DDR5; PCIe 5.0; Wi-Fi 6E","成熟LGA1700平台主板，适合第13/14代酷睿可超频处理器。",2026-06-06,https://www.gigabyte.com/Motherboard/Intel-Z790
内存,Vengeance RGB DDR5-6000 32GB (2x16GB) CL30,Corsair,119.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; EXPO/XMP版本; 1.35V; RGB","主流高性能DDR5套装，常用于AM5游戏配置。",2026-06-06,https://www.corsair.com/us/en/c/memory
内存,Vengeance DDR5-6000 32GB (2x16GB) CL36,Corsair,104.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL36; XMP/EXPO版本; 1.35V; 无RGB","低调外观主流DDR5内存，适合兼容性优先配置。",2026-06-06,https://www.corsair.com/us/en/c/memory
内存,Dominator Titanium DDR5-7200 48GB (2x24GB) CL34,Corsair,249.99,USD,美国零售参考价,2023-Q3,"48GB套装; DDR5-7200; CL34; XMP; RGB; 可更换顶部灯条","高端DDR5套装，适合高频平台、创作和外观定制。",2026-06-06,https://www.corsair.com/us/en/c/memory/dominator-titanium
内存,Dominator Titanium DDR5-6000 64GB (2x32GB) CL30,Corsair,289.99,USD,美国零售参考价,2023-Q3,"64GB套装; DDR5-6000; CL30; EXPO/XMP版本; RGB","大容量低延迟套装，适合高端游戏和生产力平台。",2026-06-06,https://www.corsair.com/us/en/c/memory/dominator-titanium
内存,Trident Z5 Neo RGB DDR5-6000 32GB (2x16GB) CL30,G.SKILL,129.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; AMD EXPO; RGB; 散热马甲","面向AMD EXPO平台的高性能内存，兼顾外观和低延迟。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Trident Z5 Neo RGB DDR5-6000 64GB (2x32GB) CL30,G.SKILL,239.99,USD,美国零售参考价,未公开,"64GB套装; DDR5-6000; CL30; AMD EXPO; RGB","AM5平台常见大容量低延迟内存，适合游戏和创作。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Trident Z5 RGB DDR5-7200 32GB (2x16GB) CL34,G.SKILL,159.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-7200; CL34; Intel XMP; RGB; 铝合金散热片","高频DDR5内存，适合Intel高端平台和调校玩家。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Ripjaws S5 DDR5-6400 32GB (2x16GB) CL32,G.SKILL,114.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6400; CL32; Intel XMP; 无RGB","低调散热片高频套装，适合注重机箱兼容性的配置。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Fury Beast DDR5-6000 32GB (2x16GB) CL30,Kingston,124.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; XMP/EXPO版本; 1.35V; 低高度散热片","兼容性和高度较友好的主流DDR5游戏内存。",2026-06-06,https://www.kingston.com/en/memory/gaming/kingston-fury-beast-ddr5-memory
内存,Fury Beast RGB DDR5-6000 64GB (2x32GB) CL36,Kingston,219.99,USD,美国零售参考价,未公开,"64GB套装; DDR5-6000; CL36; XMP/EXPO版本; RGB","大容量RGB DDR5套装，适合游戏、开发和多任务桌面。",2026-06-06,https://www.kingston.com/en/memory/gaming/kingston-fury-beast-ddr5-memory
